date,device_category,source,medium,source_medium,channel_group,sessions,view_item_sessions,add_to_cart_sessions,checkout_sessions,purchase_sessions,session_to_view_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,session_to_purchase_rate
2020-11-03,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,186,40,0,7,6,0.21505376344086022,0.0,,0.8571428571428571,0.03225806451612903
2020-11-03,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,4,0,0,0,0,0.0,,,,0.0
2020-11-03,desktop,<Other>,<Other>,<Other> / <Other>,Other,447,88,0,8,4,0.19686800894854586,0.0,,0.5,0.008948545861297539
2020-11-03,desktop,google,cpc,google / cpc,Paid Search,133,28,0,8,1,0.21052631578947367,0.0,,0.125,0.007518796992481203
2020-11-03,desktop,<Other>,referral,<Other> / referral,Referral,295,63,0,7,3,0.2135593220338983,0.0,,0.42857142857142855,0.010169491525423728
2020-11-03,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,234,49,0,9,3,0.2094017094017094,0.0,,0.3333333333333333,0.01282051282051282
2020-11-03,mobile,(direct),(none),(direct) / (none),Direct,497,87,0,15,6,0.1750503018108652,0.0,,0.4,0.012072434607645875
2020-11-03,mobile,<Other>,organic,<Other> / organic,Organic Search,60,6,0,1,1,0.1,0.0,,1.0,0.016666666666666666
2020-11-03,mobile,google,organic,google / organic,Organic Search,671,136,0,22,2,0.20268256333830104,0.0,,0.09090909090909091,0.0029806259314456036
2020-11-03,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,154,44,0,7,5,0.2857142857142857,0.0,,0.7142857142857143,0.032467532467532464
2020-11-03,mobile,<Other>,(data deleted),<Other> / (data deleted),Other,6,0,0,0,0,0.0,,,,0.0
2020-11-03,mobile,<Other>,<Other>,<Other> / <Other>,Other,278,46,0,6,1,0.16546762589928057,0.0,,0.16666666666666666,0.0035971223021582736
2020-11-03,mobile,google,cpc,google / cpc,Paid Search,101,16,0,0,0,0.15841584158415842,0.0,,,0.0
2020-11-03,mobile,<Other>,referral,<Other> / referral,Referral,213,35,0,4,2,0.1643192488262911,0.0,,0.5,0.009389671361502348
2020-11-03,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,167,28,0,2,1,0.16766467065868262,0.0,,0.5,0.005988023952095809
2020-11-03,tablet,(direct),(none),(direct) / (none),Direct,25,4,0,1,0,0.16,0.0,,0.0,0.0
2020-11-03,tablet,<Other>,organic,<Other> / organic,Organic Search,6,0,0,0,0,0.0,,,,0.0
2020-11-03,tablet,google,organic,google / organic,Organic Search,32,6,0,1,0,0.1875,0.0,,0.0,0.0
2020-11-03,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,3,0,0,0,0,0.0,,,,0.0
2020-11-03,tablet,<Other>,<Other>,<Other> / <Other>,Other,20,3,0,0,0,0.15,0.0,,,0.0
2020-11-03,tablet,google,cpc,google / cpc,Paid Search,4,0,0,0,0,0.0,,,,0.0
2020-11-03,tablet,<Other>,referral,<Other> / referral,Referral,9,1,0,0,0,0.1111111111111111,0.0,,,0.0
2020-11-03,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,11,7,0,1,0,0.6363636363636364,0.0,,0.0,0.0
2020-11-04,desktop,(direct),(none),(direct) / (none),Direct,588,116,0,15,4,0.19727891156462585,0.0,,0.26666666666666666,0.006802721088435374
2020-11-04,desktop,<Other>,organic,<Other> / organic,Organic Search,59,10,0,1,0,0.1694915254237288,0.0,,0.0,0.0
2020-11-04,desktop,google,organic,google / organic,Organic Search,760,145,0,20,5,0.19078947368421054,0.0,,0.25,0.006578947368421052
2020-11-04,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,179,43,0,9,4,0.24022346368715083,0.0,,0.4444444444444444,0.0223463687150838
2020-11-04,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,5,1,0,0,0,0.2,0.0,,,0.0
2020-11-04,desktop,<Other>,<Other>,<Other> / <Other>,Other,397,90,0,17,2,0.22670025188916876,0.0,,0.11764705882352941,0.005037783375314861
2020-11-04,desktop,google,cpc,google / cpc,Paid Search,99,22,0,5,1,0.2222222222222222,0.0,,0.2,0.010101010101010102
2020-11-04,desktop,(data deleted),referral,(data deleted) / referral,Referral,1,0,0,0,0,0.0,,,,0.0
2020-11-04,desktop,<Other>,referral,<Other> / referral,Referral,232,38,0,6,2,0.16379310344827586,0.0,,0.3333333333333333,0.008620689655172414
2020-11-04,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,214,35,0,5,2,0.16355140186915887,0.0,,0.4,0.009345794392523364
2020-11-04,mobile,(direct),(none),(direct) / (none),Direct,362,79,0,8,1,0.21823204419889503,0.0,,0.125,0.0027624309392265192
2020-11-04,mobile,<Other>,organic,<Other> / organic,Organic Search,61,9,0,1,1,0.14754098360655737,0.0,,1.0,0.01639344262295082
2020-11-04,mobile,google,organic,google / organic,Organic Search,525,117,0,13,2,0.22285714285714286,0.0,,0.15384615384615385,0.0038095238095238095
2020-11-04,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,134,29,0,6,2,0.21641791044776118,0.0,,0.3333333333333333,0.014925373134328358
2020-11-04,mobile,<Other>,(data deleted),<Other> / (data deleted),Other,2,0,0,0,0,0.0,,,,0.0
2020-11-04,mobile,<Other>,<Other>,<Other> / <Other>,Other,226,48,0,3,0,0.21238938053097345,0.0,,0.0,0.0
2020-11-04,mobile,google,cpc,google / cpc,Paid Search,67,16,0,2,0,0.23880597014925373,0.0,,0.0,0.0
2020-11-04,mobile,<Other>,referral,<Other> / referral,Referral,167,30,0,4,3,0.17964071856287425,0.0,,0.75,0.017964071856287425
2020-11-04,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,150,38,0,4,0,0.25333333333333335,0.0,,0.0,0.0
2020-11-04,tablet,(direct),(none),(direct) / (none),Direct,18,3,0,0,0,0.16666666666666666,0.0,,,0.0
2020-11-04,tablet,<Other>,organic,<Other> / organic,Organic Search,3,0,0,0,0,0.0,,,,0.0
2020-11-04,tablet,google,organic,google / organic,Organic Search,40,5,0,0,0,0.125,0.0,,,0.0
2020-11-04,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,11,1,0,0,0,0.09090909090909091,0.0,,,0.0
2020-11-04,tablet,<Other>,<Other>,<Other> / <Other>,Other,12,3,0,0,0,0.25,0.0,,,0.0
2020-11-04,tablet,google,cpc,google / cpc,Paid Search,5,2,0,0,0,0.4,0.0,,,0.0
2020-11-04,tablet,<Other>,referral,<Other> / referral,Referral,12,2,0,0,0,0.16666666666666666,0.0,,,0.0
2020-11-04,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,15,6,0,2,1,0.4,0.0,,0.5,0.06666666666666667
2020-11-05,desktop,(direct),(none),(direct) / (none),Direct,490,122,0,12,2,0.24897959183673468,0.0,,0.16666666666666666,0.004081632653061225
2020-11-05,desktop,<Other>,organic,<Other> / organic,Organic Search,47,11,0,2,0,0.23404255319148937,0.0,,0.0,0.0
2020-11-05,desktop,google,organic,google / organic,Organic Search,671,150,0,18,1,0.22354694485842028,0.0,,0.05555555555555555,0.0014903129657228018
2020-11-05,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,204,49,0,7,3,0.24019607843137256,0.0,,0.42857142857142855,0.014705882352941176
2020-11-05,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,7,1,0,1,1,0.14285714285714285,0.0,,1.0,0.14285714285714285
2020-11-05,desktop,<Other>,<Other>,<Other> / <Other>,Other,271,60,0,8,3,0.22140221402214022,0.0,,0.375,0.01107011070110701
2020-11-05,desktop,google,cpc,google / cpc,Paid Search,84,19,0,3,1,0.2261904761904762,0.0,,0.3333333333333333,0.011904761904761904
2020-11-05,desktop,<Other>,referral,<Other> / referral,Referral,212,50,0,7,2,0.2358490566037736,0.0,,0.2857142857142857,0.009433962264150943
2020-11-05,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,194,44,0,8,3,0.2268041237113402,0.0,,0.375,0.015463917525773196
2020-11-05,mobile,(direct),(none),(direct) / (none),Direct,351,77,0,13,3,0.21937321937321938,0.0,,0.23076923076923078,0.008547008547008548
2020-11-05,mobile,<Other>,organic,<Other> / organic,Organic Search,41,10,0,3,0,0.24390243902439024,0.0,,0.0,0.0
2020-11-05,mobile,google,organic,google / organic,Organic Search,488,107,0,8,0,0.2192622950819672,0.0,,0.0,0.0
2020-11-05,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,144,34,0,5,3,0.2361111111111111,0.0,,0.6,0.020833333333333332
2020-11-05,mobile,<Other>,<Other>,<Other> / <Other>,Other,195,36,0,8,0,0.18461538461538463,0.0,,0.0,0.0
2020-11-05,mobile,google,cpc,google / cpc,Paid Search,69,19,0,4,0,0.2753623188405797,0.0,,0.0,0.0
2020-11-05,mobile,<Other>,referral,<Other> / referral,Referral,137,34,0,9,3,0.24817518248175183,0.0,,0.3333333333333333,0.021897810218978103
2020-11-05,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,150,27,0,5,0,0.18,0.0,,0.0,0.0
2020-11-05,tablet,(direct),(none),(direct) / (none),Direct,22,6,0,1,1,0.2727272727272727,0.0,,1.0,0.045454545454545456
2020-11-05,tablet,<Other>,organic,<Other> / organic,Organic Search,4,1,0,0,0,0.25,0.0,,,0.0
2020-11-05,tablet,google,organic,google / organic,Organic Search,25,7,0,1,0,0.28,0.0,,0.0,0.0
2020-11-05,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,6,2,0,0,0,0.3333333333333333,0.0,,,0.0
2020-11-05,tablet,<Other>,<Other>,<Other> / <Other>,Other,14,5,0,1,0,0.35714285714285715,0.0,,0.0,0.0
2020-11-05,tablet,google,cpc,google / cpc,Paid Search,2,1,0,1,0,0.5,0.0,,0.0,0.0
2020-11-05,tablet,<Other>,referral,<Other> / referral,Referral,11,4,0,1,0,0.36363636363636365,0.0,,0.0,0.0
2020-11-05,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,7,1,0,0,0,0.14285714285714285,0.0,,,0.0
2020-11-06,desktop,(direct),(none),(direct) / (none),Direct,427,110,0,16,7,0.2576112412177986,0.0,,0.4375,0.01639344262295082
2020-11-06,desktop,<Other>,organic,<Other> / organic,Organic Search,56,11,0,1,0,0.19642857142857142,0.0,,0.0,0.0
2020-11-06,desktop,google,organic,google / organic,Organic Search,588,154,0,27,8,0.2619047619047619,0.0,,0.2962962962962963,0.013605442176870748
2020-11-06,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,155,38,0,8,2,0.24516129032258063,0.0,,0.25,0.012903225806451613
2020-11-06,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,3,2,0,1,0,0.6666666666666666,0.0,,0.0,0.0
2020-11-06,desktop,<Other>,<Other>,<Other> / <Other>,Other,232,59,0,12,1,0.2543103448275862,0.0,,0.08333333333333333,0.004310344827586207
2020-11-06,desktop,google,cpc,google / cpc,Paid Search,91,19,0,3,1,0.2087912087912088,0.0,,0.3333333333333333,0.01098901098901099
2020-11-06,desktop,<Other>,referral,<Other> / referral,Referral,175,49,0,11,5,0.28,0.0,,0.45454545454545453,0.02857142857142857
2020-11-06,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,196,48,0,4,3,0.24489795918367346,0.0,,0.75,0.015306122448979591
2020-11-06,mobile,(direct),(none),(direct) / (none),Direct,313,84,0,14,4,0.268370607028754,0.0,,0.2857142857142857,0.012779552715654952
2020-11-06,mobile,<Other>,organic,<Other> / organic,Organic Search,34,9,0,1,0,0.2647058823529412,0.0,,0.0,0.0
2020-11-06,mobile,google,organic,google / organic,Organic Search,403,104,0,26,8,0.25806451612903225,0.0,,0.3076923076923077,0.019851116625310174
2020-11-06,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,116,23,0,3,1,0.19827586206896552,0.0,,0.3333333333333333,0.008620689655172414
2020-11-06,mobile,<Other>,(data deleted),<Other> / (data deleted),Other,4,1,0,0,0,0.25,0.0,,,0.0
2020-11-06,mobile,<Other>,<Other>,<Other> / <Other>,Other,172,53,0,11,1,0.3081395348837209,0.0,,0.09090909090909091,0.005813953488372093
2020-11-06,mobile,google,cpc,google / cpc,Paid Search,45,10,0,0,0,0.2222222222222222,0.0,,,0.0
2020-11-06,mobile,(data deleted),referral,(data deleted) / referral,Referral,1,1,0,1,0,1.0,0.0,,0.0,0.0
2020-11-06,mobile,<Other>,referral,<Other> / referral,Referral,123,34,0,7,2,0.2764227642276423,0.0,,0.2857142857142857,0.016260162601626018
2020-11-06,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,121,30,0,5,2,0.24793388429752067,0.0,,0.4,0.01652892561983471
2020-11-06,tablet,(direct),(none),(direct) / (none),Direct,20,2,0,0,0,0.1,0.0,,,0.0
2020-11-06,tablet,<Other>,organic,<Other> / organic,Organic Search,1,1,0,0,0,1.0,0.0,,,0.0
2020-11-06,tablet,google,organic,google / organic,Organic Search,27,10,0,1,1,0.37037037037037035,0.0,,1.0,0.037037037037037035
2020-11-06,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,8,1,0,1,1,0.125,0.0,,1.0,0.125
2020-11-06,tablet,<Other>,<Other>,<Other> / <Other>,Other,12,3,0,2,1,0.25,0.0,,0.5,0.08333333333333333
2020-11-06,tablet,<Other>,referral,<Other> / referral,Referral,5,0,0,0,0,0.0,,,,0.0
2020-11-06,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,4,2,0,0,0,0.5,0.0,,,0.0
2020-11-07,desktop,(direct),(none),(direct) / (none),Direct,308,72,0,16,4,0.23376623376623376,0.0,,0.25,0.012987012987012988
2020-11-07,desktop,<Other>,organic,<Other> / organic,Organic Search,32,9,0,3,1,0.28125,0.0,,0.3333333333333333,0.03125
2020-11-07,desktop,google,organic,google / organic,Organic Search,401,90,0,24,4,0.22443890274314215,0.0,,0.16666666666666666,0.00997506234413965
2020-11-07,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,84,25,0,2,1,0.2976190476190476,0.0,,0.5,0.011904761904761904
2020-11-07,desktop,<Other>,<Other>,<Other> / <Other>,Other,160,43,0,6,1,0.26875,0.0,,0.16666666666666666,0.00625
2020-11-07,desktop,google,cpc,google / cpc,Paid Search,60,17,0,2,2,0.2833333333333333,0.0,,1.0,0.03333333333333333
2020-11-07,desktop,<Other>,referral,<Other> / referral,Referral,133,40,0,6,1,0.3007518796992481,0.0,,0.16666666666666666,0.007518796992481203
2020-11-07,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,109,27,0,8,2,0.24770642201834864,0.0,,0.25,0.01834862385321101
2020-11-07,mobile,(direct),(none),(direct) / (none),Direct,239,62,0,10,2,0.2594142259414226,0.0,,0.2,0.008368200836820083
2020-11-07,mobile,<Other>,organic,<Other> / organic,Organic Search,20,6,0,2,0,0.3,0.0,,0.0,0.0
2020-11-07,mobile,google,organic,google / organic,Organic Search,273,80,0,14,6,0.29304029304029305,0.0,,0.42857142857142855,0.02197802197802198
2020-11-07,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,60,15,0,2,0,0.25,0.0,,0.0,0.0
2020-11-07,mobile,<Other>,<Other>,<Other> / <Other>,Other,144,37,0,6,2,0.2569444444444444,0.0,,0.3333333333333333,0.013888888888888888
2020-11-07,mobile,google,cpc,google / cpc,Paid Search,44,12,0,1,0,0.2727272727272727,0.0,,0.0,0.0
2020-11-07,mobile,<Other>,referral,<Other> / referral,Referral,96,28,0,3,2,0.2916666666666667,0.0,,0.6666666666666666,0.020833333333333332
2020-11-07,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,70,13,0,2,0,0.18571428571428572,0.0,,0.0,0.0
2020-11-07,tablet,(direct),(none),(direct) / (none),Direct,9,4,0,1,0,0.4444444444444444,0.0,,0.0,0.0
2020-11-07,tablet,google,organic,google / organic,Organic Search,19,8,0,1,0,0.42105263157894735,0.0,,0.0,0.0
2020-11-07,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,6,2,0,2,0,0.3333333333333333,0.0,,0.0,0.0
2020-11-07,tablet,<Other>,<Other>,<Other> / <Other>,Other,3,0,0,0,0,0.0,,,,0.0
2020-11-07,tablet,google,cpc,google / cpc,Paid Search,2,1,0,0,0,0.5,0.0,,,0.0
2020-11-07,tablet,<Other>,referral,<Other> / referral,Referral,5,0,0,0,0,0.0,,,,0.0
2020-11-07,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,6,2,0,0,0,0.3333333333333333,0.0,,,0.0
2020-11-08,desktop,(direct),(none),(direct) / (none),Direct,275,57,0,13,2,0.20727272727272728,0.0,,0.15384615384615385,0.007272727272727273
2020-11-08,desktop,<Other>,organic,<Other> / organic,Organic Search,38,7,0,0,0,0.18421052631578946,0.0,,,0.0
2020-11-08,desktop,google,organic,google / organic,Organic Search,404,92,0,18,4,0.22772277227722773,0.0,,0.2222222222222222,0.009900990099009901
2020-11-08,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,85,18,0,4,3,0.21176470588235294,0.0,,0.75,0.03529411764705882
2020-11-08,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,1,0,0,0,0,0.0,,,,0.0
2020-11-08,desktop,<Other>,<Other>,<Other> / <Other>,Other,183,46,0,14,2,0.25136612021857924,0.0,,0.14285714285714285,0.01092896174863388
2020-11-08,desktop,google,cpc,google / cpc,Paid Search,57,12,0,0,0,0.21052631578947367,0.0,,,0.0
2020-11-08,desktop,<Other>,referral,<Other> / referral,Referral,128,31,0,6,2,0.2421875,0.0,,0.3333333333333333,0.015625
2020-11-08,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,112,12,0,3,1,0.10714285714285714,0.0,,0.3333333333333333,0.008928571428571428
2020-11-08,mobile,(direct),(none),(direct) / (none),Direct,200,45,0,8,3,0.225,0.0,,0.375,0.015
2020-11-08,mobile,<Other>,organic,<Other> / organic,Organic Search,19,5,0,0,0,0.2631578947368421,0.0,,,0.0
2020-11-08,mobile,google,organic,google / organic,Organic Search,249,59,0,16,5,0.23694779116465864,0.0,,0.3125,0.020080321285140562
2020-11-08,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,55,10,0,0,0,0.18181818181818182,0.0,,,0.0
2020-11-08,mobile,<Other>,(data deleted),<Other> / (data deleted),Other,1,0,0,0,0,0.0,,,,0.0
2020-11-08,mobile,<Other>,<Other>,<Other> / <Other>,Other,120,29,0,4,3,0.24166666666666667,0.0,,0.75,0.025
2020-11-08,mobile,google,cpc,google / cpc,Paid Search,32,13,0,0,0,0.40625,0.0,,,0.0
2020-11-08,mobile,<Other>,referral,<Other> / referral,Referral,86,24,0,5,1,0.27906976744186046,0.0,,0.2,0.011627906976744186
2020-11-08,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,82,27,0,6,3,0.32926829268292684,0.0,,0.5,0.036585365853658534
2020-11-08,tablet,(direct),(none),(direct) / (none),Direct,10,2,0,0,0,0.2,0.0,,,0.0
2020-11-08,tablet,google,organic,google / organic,Organic Search,10,2,0,0,0,0.2,0.0,,,0.0
2020-11-08,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,4,3,0,2,2,0.75,0.0,,1.0,0.5
2020-11-08,tablet,<Other>,(data deleted),<Other> / (data deleted),Other,1,0,0,0,0,0.0,,,,0.0
2020-11-08,tablet,<Other>,<Other>,<Other> / <Other>,Other,9,1,0,1,0,0.1111111111111111,0.0,,0.0,0.0
2020-11-08,tablet,<Other>,referral,<Other> / referral,Referral,3,0,0,0,0,0.0,,,,0.0
2020-11-08,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,6,1,0,0,0,0.16666666666666666,0.0,,,0.0
